source,target,weight
用户6420794537,揉脸脸,0.11954601
用户6420794537,元气满满小盆友,0.11747772
用户6420794537,stjkksbygkww,0.14359337
用户6420794537,毛猴敲酒,0.11764173
用户6420794537,卞卞1995,0.1467515
用户6420794537,我就想叫十六怎么那么难,0.12278509
用户6420794537,·天天吃糖·,0.13464593
用户6420794537,unhappygoose,0.14581312
用户6420794537,小黑呀·,0.13635166
用户6420794537,BvHS9-孟浩然ana,0.11962921
用户6420794537,小骄傲的专属FD,0.11786405
用户6420794537,阿拉拉拉朗LANG,0.13427961
用户6420794537,ChanChiLam,0.12246005
用户6420794537,看破红尘200002,0.11393152
用户6420794537,南冥鹿鸣,0.11592072
用户6420794537,正宗糖丝儿,0.14179767
用户6420794537,花花大魔王有胡萝北,0.13352215
用户6420794537,用户1404799263,0.11867512
用户6420794537,NGYINGYAN,0.13218264
用户6420794537,Hell3rGoh螺,0.1788828
用户6420794537,栗十八呀,0.11608388
用户6420794537,西蒙Sanji,0.13365403
用户6420794537,妳是我唯一想要的了解-,0.11281339
用户6420794537,黑花肥会发挥,0.11563736
用户6420794537,今天真是太可爱了,0.1123796
用户6420794537,婧儿Jing5288,0.1408037
用户6420794537,潘潘丨潘小小潘,0.11163434
用户6420794537,一九sui,0.12825965
用户6420794537,凤凰涅槃舍我其谁,0.11929545
用户6420794537,小晶晶要认真了,0.13317559
用户6420794537,Yvub1-防患未lwq,0.13286477
用户6420794537,是一只Yumi羊仔啊,0.13801849
用户6420794537,冷漠的大黄蜂,0.12033055
用户6420794537,TheLoverTop,0.13339736
用户6420794537,愛笑的眼睛elaine仙,0.12470476
用户6420794537,到不了的都叫做远方___,0.12052346
用户6420794537,ATsurreal,0.12115062
用户6420794537,不懂黑泡的pengihye,0.11441038
用户6420794537,王靳一北,0.11933443
用户6420794537,傻丫头meme,0.11735697
用户6420794537,Mxxxxx777,0.12341169
用户6420794537,甘娣-,0.12201237
用户6420794537,LANoyadeGirL,0.12207059
用户6420794537,Hello米小乐,0.13013455
用户6420794537,夕丙搏洁,0.15079643
用户6420794537,玖零余生,0.12395895
用户6420794537,空中飞舞的Jacky,0.14861848
用户6420794537,莳桉啊,0.1168206
用户6420794537,羽墨青丝,0.11354291
用户6420794537,rioota,0.13245488
用户6420794537,用户6964176888,0.11984161
用户6420794537,今后不会再为小赵哭鼻子了,0.11492697
用户6420794537,2qiRlbJ,0.11430427
用户6420794537,ni的甜心,0.11494409
用户6420794537,荞麦面和榴莲更配哦,0.16084659
用户6420794537,易烊烊的冰淇淋,0.12280635
用户6420794537,Lucky又在做梦了,0.13453341
用户6420794537,cby的小圈子,0.11780956
用户6420794537,菁菁脸尖尖,0.11604033
用户6420794537,Wwwkb-3-,0.12833284
用户6420794537,成长pgjm,0.22630165
用户6420794537,Cy_Tuzki_D,0.12632486
用户6420794537,啵叽一口甜_,0.13869662
用户6420794537,粒L麦提莎巧克力,0.13537574
用户6420794537,Tung今天去图书馆了吗,0.12822341
用户6420794537,猫在撒娇,0.14020134
用户6420794537,Cynthia0701,0.13668454
用户6420794537,丶恰似伱惪温柔娅_,0.11472851
用户6420794537,青春冰丝倩儿,0.11929545
用户6420794537,疯癫范儿阿冬哥poi,0.13308053
用户6420794537,王十三是傻子,0.11247979
用户6420794537,虎皮猫大人是只聪明的鸟,0.11912937
用户6420794537,随意吐槽的小透明,0.12566572
用户6420794537,幻以诺,0.12019271
用户6420794537,象巧欣,0.16765716
用户6420794537,皓月呐呐,0.13517948
用户6420794537,树天天,0.1323012
用户6420794537,氟西汀Fluoxetine__,0.1202499
用户6420794537,忘鸟爱,0.15422921
用户6420794537,枪都给你别打我,0.12494135
用户6420794537,candygigi000,0.12284031
用户6420794537,早睡第一名_,0.13922517
用户6420794537,Typewriter猴_VoV,0.18664585
用户6420794537,浦凑幽踊扇慷钟庸mu,0.11613247
用户6420794537,大裸朵,0.1200109
用户6420794537,咕噜咕噜冒泡泡咿呀咿呀哟,0.11679001
用户6420794537,係贝拉唔係备啦,0.15086378
用户6420794537,TheresNoSuchThing,0.11476413
用户6420794537,wxf_203,0.13200037
用户6420794537,啾咪苏,0.11747286
用户6420794537,用户6170208265,0.11933975
用户6420794537,苡婕_,0.11728292
用户6420794537,跛腿狼先生,0.11148931
用户6420794537,小柠理想型,0.114074
用户6420794537,五月青枫,0.12046492
用户6420794537,嗨我来抓人了,0.17189854
用户6420794537,我是一个小号xxx,0.12231833
用户6420794537,车厘子大嘴,0.144336
用户6420794537,梦瑶小可爱-3-,0.12903988
用户6420794537,马克吐温Mark,0.13260962
用户6420794537,一只可爱粽,0.11485395
用户6420794537,李汶翰的小盒妹鸭,0.11858485
用户6420794537,IVY桢,0.11499324
用户6420794537,WANHUA--,0.11862071
用户6420794537,Rail_Y,0.13346784
用户6420794537,大方grunt,0.11491812
用户6420794537,Arri_eleven,0.11755263
用户6420794537,渣妹纸,0.13300702
用户6420794537,悠然_40418,0.11931715
用户6420794537,夏洛特之梦,0.13785279
用户6420794537,鸭梨大dd,0.11237425
用户6420794537,我说是就是259695,0.11423948
用户6420794537,冰阔落味嘴唇的美少女,0.14580268
用户6420794537,苏毓七七,0.11371093
用户6420794537,ziiguu,0.11887514
用户6420794537,归去欢喜处,0.11295738
用户6420794537,elf_yy,0.13051858
用户6420794537,爸爸的宝贝女儿,0.11387946
用户6420794537,要努力考上研究僧的禾,0.12549297
用户6420794537,拉登爱布殊,0.11644853
用户6420794537,侯主中洪,0.12268645
用户6420794537,Junedairy,0.13237303
用户6420794537,那举个栗子叭,0.11254614
用户6420794537,是涂怡啊,0.11214705
用户6420794537,罗罗薇安,0.12546121
用户6420794537,为什么矶井实光这么好味,0.12412819
用户6420794537,梨涡的圆周率,0.12336789
用户6420794537,只有大脸,0.11215064
钴鹤,青二才小十,0.11946245
钴鹤,Z恩Z恩P大桢,0.11236115
钴鹤,九九呐__,0.12225272
钴鹤,用户6420794537,0.14401652
钴鹤,stjkksbygkww,0.11587033
钴鹤,卞卞1995,0.12363445
钴鹤,·天天吃糖·,0.12371575
钴鹤,unhappygoose,0.14034226
钴鹤,小黑呀·,0.12295359
钴鹤,阿拉拉拉朗LANG,0.11531889
钴鹤,正宗糖丝儿,0.13117598
钴鹤,花花大魔王有胡萝北,0.1189229
钴鹤,NGYINGYAN,0.1213246
钴鹤,Hell3rGoh螺,0.15656307
钴鹤,婧儿Jing5288,0.11203499
钴鹤,一九sui,0.11136439
钴鹤,小晶晶要认真了,0.1214656
钴鹤,是一只Yumi羊仔啊,0.11715742
钴鹤,TheLoverTop,0.12152328
钴鹤,Hello米小乐,0.11486204
钴鹤,夕丙搏洁,0.14037896
钴鹤,空中飞舞的Jacky,0.12743641
钴鹤,rioota,0.12087815
钴鹤,荞麦面和榴莲更配哦,0.13555095
钴鹤,Lucky又在做梦了,0.11903913
钴鹤,Wwwkb-3-,0.1121812
钴鹤,成长pgjm,0.19523865
钴鹤,粒L麦提莎巧克力,0.11839961
钴鹤,Tung今天去图书馆了吗,0.11304339
钴鹤,疯癫范儿阿冬哥poi,0.12272388
钴鹤,象巧欣,0.15950962
钴鹤,皓月呐呐,0.11497803
钴鹤,树天天,0.12015701
钴鹤,忘鸟爱,0.11650301
钴鹤,早睡第一名_,0.12408777
钴鹤,Typewriter猴_VoV,0.16091205
钴鹤,係贝拉唔係备啦,0.12214837
钴鹤,嗨我来抓人了,0.13555648
钴鹤,车厘子大嘴,0.13212161
钴鹤,马克吐温Mark,0.12046625
钴鹤,Rail_Y,0.11556261
钴鹤,渣妹纸,0.12110554
钴鹤,夏洛特之梦,0.11511474
钴鹤,冰阔落味嘴唇的美少女,0.12538027
钴鹤,elf_yy,0.11132452
钴鹤,Junedairy,0.12049468
想不到明天的明天,用户6420794537,0.11477832
想不到明天的明天,unhappygoose,0.11756372
想不到明天的明天,Hell3rGoh螺,0.13937333
想不到明天的明天,夕丙搏洁,0.11177025
想不到明天的明天,荞麦面和榴莲更配哦,0.11079012
想不到明天的明天,成长pgjm,0.17765715
想不到明天的明天,象巧欣,0.13881816
想不到明天的明天,Typewriter猴_VoV,0.14642608
